ranking,team,abbr,conference,rating,rrwp
1,Wisconsin,WIS,WCHA,14115.96,0.9716
2,Ohio State,OSU,WCHA,7733.76,0.9507
3,Minnesota,MIN,WCHA,4003.87,0.919
4,Penn State,PSU,AHA,1726.36,0.8608
5,Minnesota-Duluth,MND,WCHA,983.61,0.808
6,UConn,UC,HEA,952.89,0.8047
7,Northeastern,NEU,HEA,778.13,0.7825
8,Princeton,PRI,ECAC,749.43,0.7782
9,Quinnipiac,QPC,ECAC,646.02,0.7607
10,Minnesota State,MNS,WCHA,629.62,0.7576
11,Clarkson,CLR,ECAC,327.28,0.6704
12,St. Cloud State,SCS,WCHA,320.32,0.6674
13,Cornell,COR,ECAC,258.61,0.6359
14,Yale,YAL,ECAC,225.31,0.6152
15,Colgate,COL,ECAC,210.34,0.6047
16,St. Thomas,STT,WCHA,209.26,0.6039
17,Brown,BRN,ECAC,180.58,0.5812
18,Boston College,BC,HEA,170.91,0.5726
19,Mercyhurst,MCY,AHA,161.32,0.5637
20,Maine,MNE,HEA,150.73,0.5531
21,Boston University,BU,HEA,136.69,0.5378
22,Providence,PVD,HEA,130.42,0.5304
23,Bemidji State,BMJ,WCHA,126.56,0.5257
24,Harvard,HAR,ECAC,125.05,0.5238
25,Holy Cross,CHC,HEA,124.42,0.5231
26,Vermont,UVM,HEA,102,0.4921
27,New Hampshire,UNH,HEA,98.22,0.4862
28,St. Lawrence,SLU,ECAC,97.93,0.4858
29,Rochester,RIT,AHA,68.74,0.4319
30,Syracuse,SYR,AHA,56.5,0.403
31,Union,UNI,ECAC,43.44,0.3657
32,Robert Morris,RMU,AHA,37.76,0.3466
33,Dartmouth,DAR,ECAC,33.28,0.3298
34,Lindenwood,LIN,AHA,32.16,0.3254
35,Rensselaer,RPI,ECAC,27.15,0.3039
36,Merrimack,MMC,HEA,18.78,0.26
37,St. Anselm,STA,NEWHA,13.53,0.2244
38,Franklin Pierce,FRP,NEWHA,10.59,0.1998
39,Assumption,AMP,NEWHA,6.38,0.1542
40,Stonehill,STO,NEWHA,6.3,0.1532
41,Delaware,DEL,AHA,3.55,0.11
42,Post,PST,NEWHA,3.54,0.1098
43,Long Island,LIU,NEWHA,3.52,0.1094
44,Sacred Heart,SHU,NEWHA,2.59,0.0899
45,Saint Michael's,STM,NEWHA,0.38,0.0166
