ranking,team,abbr,conference,rating,rrwp
1,Wisconsin,WIS,WCHA,10860.06,0.9655
2,Ohio State,OSU,WCHA,7237.28,0.9501
3,Minnesota,MIN,WCHA,4243.36,0.9242
4,Minnesota-Duluth,MND,WCHA,1098.08,0.82
5,UConn,UC,HEA,1084.27,0.8187
6,Penn State,PSU,AHA,1059.98,0.8163
7,Princeton,PRI,ECAC,849.69,0.7925
8,Quinnipiac,QPC,ECAC,683.93,0.7673
9,Northeastern,NEU,HEA,595.19,0.7502
10,Minnesota State,MNS,WCHA,563.91,0.7433
11,Yale,YAL,ECAC,325.85,0.6683
12,St. Cloud State,SCS,WCHA,309.08,0.6606
13,Cornell,COR,ECAC,292.12,0.6523
14,Clarkson,CLR,ECAC,285.93,0.6492
15,Colgate,COL,ECAC,270.09,0.6407
16,St. Thomas,STT,WCHA,237.87,0.6216
17,Mercyhurst,MCY,AHA,196.53,0.5923
18,Brown,BRN,ECAC,154.14,0.5545
19,Boston University,BU,HEA,151.74,0.5521
20,Boston College,BC,HEA,150.82,0.5511
21,Maine,MNE,HEA,148.14,0.5483
22,Holy Cross,CHC,HEA,145.16,0.5451
23,Harvard,HAR,ECAC,139.39,0.5388
24,Providence,PVD,HEA,125.33,0.5221
25,Vermont,UVM,HEA,95.56,0.48
26,New Hampshire,UNH,HEA,93.15,0.476
27,St. Lawrence,SLU,ECAC,86.62,0.4649
28,Bemidji State,BMJ,WCHA,86.59,0.4648
29,Syracuse,SYR,AHA,71.15,0.435
30,Rochester,RIT,AHA,71.05,0.4348
31,Union,UNI,ECAC,43.38,0.3636
32,Dartmouth,DAR,ECAC,36.32,0.3395
33,Robert Morris,RMU,AHA,32.91,0.3265
34,Lindenwood,LIN,AHA,32.75,0.3258
35,Rensselaer,RPI,ECAC,27.39,0.303
36,Merrimack,MMC,HEA,21.46,0.2734
37,Franklin Pierce,FRP,NEWHA,11.92,0.2095
38,St. Anselm,STA,NEWHA,10.36,0.1957
39,Stonehill,STO,NEWHA,8.94,0.1819
40,Assumption,AMP,NEWHA,6.17,0.1497
41,Post,PST,NEWHA,3.89,0.1149
42,Long Island,LIU,NEWHA,3.68,0.1111
43,Delaware,DEL,AHA,3.46,0.1069
44,Sacred Heart,SHU,NEWHA,2.38,0.084
45,Saint Michael's,STM,NEWHA,0.32,0.0139
