ranking,team,abbr,conference,rating,rrwp
1,Wisconsin,WIS,WCHA,13400.73,0.9713
2,Ohio State,OSU,WCHA,7328.35,0.95
3,Minnesota,MIN,WCHA,3801.29,0.9177
4,Penn State,PSU,AHA,1580.86,0.855
5,UConn,UC,HEA,974.41,0.8085
6,Minnesota-Duluth,MND,WCHA,938.61,0.8046
7,Princeton,PRI,ECAC,791.21,0.7857
8,Quinnipiac,QPC,ECAC,640.58,0.7608
9,Minnesota State,MNS,WCHA,595.27,0.7517
10,Northeastern,NEU,HEA,589.23,0.7504
11,Clarkson,CLR,ECAC,341.1,0.6767
12,St. Cloud State,SCS,WCHA,306.82,0.6614
13,Yale,YAL,ECAC,291.25,0.6537
14,Cornell,COR,ECAC,267.04,0.6408
15,Colgate,COL,ECAC,215.62,0.6083
16,St. Thomas,STT,WCHA,197.66,0.5949
17,Brown,BRN,ECAC,191.18,0.5897
18,Boston College,BC,HEA,169.53,0.571
19,Mercyhurst,MCY,AHA,160.98,0.5629
20,Maine,MNE,HEA,149.98,0.5517
21,Boston University,BU,HEA,135.3,0.5355
22,Providence,PVD,HEA,130.9,0.5303
23,Harvard,HAR,ECAC,129.79,0.529
24,Holy Cross,CHC,HEA,126.52,0.525
25,Bemidji State,BMJ,WCHA,106.46,0.4979
26,Vermont,UVM,HEA,101.65,0.4907
27,St. Lawrence,SLU,ECAC,100.39,0.4887
28,New Hampshire,UNH,HEA,100.38,0.4887
29,Rochester,RIT,AHA,68.05,0.4292
30,Syracuse,SYR,AHA,56.52,0.4017
31,Union,UNI,ECAC,45.62,0.3711
32,Robert Morris,RMU,AHA,37.7,0.3449
33,Dartmouth,DAR,ECAC,34.35,0.3325
34,Lindenwood,LIN,AHA,31.91,0.3228
35,Rensselaer,RPI,ECAC,27.78,0.3051
36,Merrimack,MMC,HEA,21.58,0.2744
37,St. Anselm,STA,NEWHA,13.8,0.2248
38,Franklin Pierce,FRP,NEWHA,10.77,0.1999
39,Assumption,AMP,NEWHA,6.51,0.1545
40,Stonehill,STO,NEWHA,6.39,0.153
41,Post,PST,NEWHA,3.58,0.1095
42,Delaware,DEL,AHA,3.57,0.1093
43,Long Island,LIU,NEWHA,3.53,0.1085
44,Sacred Heart,SHU,NEWHA,2.62,0.0897
45,Saint Michael's,STM,NEWHA,0.38,0.0164
