ranking,team,abbr,conference,rating,rrwp
1,Wisconsin,WIS,WCHA,19770.05,0.9753
2,Ohio State,OSU,WCHA,9138.94,0.9504
3,Minnesota,MIN,WCHA,5766.03,0.9306
4,Minnesota-Duluth,MND,WCHA,2496.64,0.8831
5,Penn State,PSU,AHA,2254.94,0.8761
6,Minnesota State,MNS,WCHA,899.06,0.7982
7,UConn,UC,HEA,776.56,0.7831
8,Northeastern,NEU,HEA,689.62,0.7702
9,Princeton,PRI,ECAC,607.44,0.7559
10,Quinnipiac,QPC,ECAC,495.88,0.7317
11,St. Cloud State,SCS,WCHA,384.92,0.6995
12,Clarkson,CLR,ECAC,288.07,0.6599
13,St. Thomas,STT,WCHA,263.82,0.6474
14,Cornell,COR,ECAC,221.13,0.6216
15,Yale,YAL,ECAC,170.68,0.5826
16,Boston College,BC,HEA,167.57,0.5798
17,Colgate,COL,ECAC,155.01,0.5678
18,Bemidji State,BMJ,WCHA,152.08,0.5648
19,Mercyhurst,MCY,AHA,147.44,0.56
20,Brown,BRN,ECAC,133.41,0.5445
21,Holy Cross,CHC,HEA,125.54,0.535
22,Providence,PVD,HEA,118.3,0.5257
23,Maine,MNE,HEA,109.07,0.5129
24,Harvard,HAR,ECAC,93.3,0.4885
25,Boston University,BU,HEA,89.8,0.4825
26,St. Lawrence,SLU,ECAC,87.86,0.4791
27,New Hampshire,UNH,HEA,84.68,0.4733
28,Vermont,UVM,HEA,80.84,0.4661
29,Rochester,RIT,AHA,66.47,0.436
30,Syracuse,SYR,AHA,55.53,0.4088
31,Union,UNI,ECAC,46.13,0.3815
32,Robert Morris,RMU,AHA,38.4,0.3553
33,Lindenwood,LIN,AHA,37.8,0.3531
34,Dartmouth,DAR,ECAC,37.42,0.3517
35,Rensselaer,RPI,ECAC,28.83,0.3164
36,Merrimack,MMC,HEA,19.76,0.269
37,St. Anselm,STA,NEWHA,13.55,0.2263
38,Franklin Pierce,FRP,NEWHA,10.66,0.2015
39,Assumption,AMP,NEWHA,6.47,0.1553
40,Stonehill,STO,NEWHA,6.42,0.1547
41,Delaware,DEL,AHA,3.98,0.1173
42,Long Island,LIU,NEWHA,3.66,0.1114
43,Post,PST,NEWHA,3.6,0.1102
44,Sacred Heart,SHU,NEWHA,2.64,0.0902
45,Saint Michael's,STM,NEWHA,0.38,0.0162
